cameraSN,enterprise,alert_type,timestamp,id,percent,coords,radius
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:44:25,,,None,
DS-7104NI-Q1-1,alma,interaccion_rumas,2025-08-11 18:44:25,,,None,
DS-7104NI-Q1-1,alma,variacion_rumas,2025-08-11 18:44:26,4,100,"[708.44, 314.05]",50.35
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:44:28,,,None,
DS-7104NI-Q1-1,alma,interaccion_rumas,2025-08-11 18:44:28,,,None,
DS-7104NI-Q1-1,alma,variacion_rumas,2025-08-11 18:44:28,6,99.96117510029767,"[562.16, 290.72]",48.29
DS-7104NI-Q1-1,alma,variacion_rumas,2025-08-11 18:44:33,4,99.8521902714324,"[708.44, 314.05]",50.35
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:44:34,,,None,
DS-7104NI-Q1-1,alma,interaccion_rumas,2025-08-11 18:44:34,,,None,
DS-7104NI-Q1-1,alma,variacion_rumas,2025-08-11 18:44:34,4,99.86898683149691,"[708.44, 314.05]",50.35
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:44:35,,,None,
DS-7104NI-Q1-1,alma,interaccion_rumas,2025-08-11 18:44:35,,,None,
DS-7104NI-Q1-1,alma,variacion_rumas,2025-08-11 18:44:40,4,99.75309056705187,"[708.44, 314.05]",50.35
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:44:45,,,None,
DS-7104NI-Q1-1,alma,interaccion_rumas,2025-08-11 18:44:45,,,None,
DS-7104NI-Q1-1,alma,variacion_rumas,2025-08-11 18:44:56,4,99.74973125503897,"[708.44, 314.05]",50.35
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:45:12,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:45:29,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:45:31,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:45:35,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:46:26,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:46:30,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:46:32,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:46:34,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:46:35,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:46:40,,,None,
DS-7104NI-Q1-1,alma,movimiento_zona,2025-08-11 18:46:46,,,None,
